Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
Pizza,2012,127,7.9,8700,Karthik Subbaraj,"Prasath Ramar, Karthik Subbaraj",Vijay Sethupathi|Ramya Nambeeshan|Aadukalam Naren,Horror|Thriller,240000.0,2800000.0
Resident Evil: The Final Chapter,2016,107,5.5,101000,Paul W.S. Anderson,Paul W.S. Anderson,Milla Jovovich|Iain Glen|Ali Larter,Action|Horror|Sci-Fi,40000000.0,312200000.0
In a Heartbeat,2014,106,3.0,286,Raoul Girard,Raoul Girard,Danny Dyer|Keith Allen|Craig Conway,Horror|Mystery|Romance,464229.0,62985.0
Time to Kill,2014,71,4.9,137,Brian K. Williams,Brian K. Williams,Ellie Church|Debbie Rochon|Charlie Moon,Action|Horror|Thriller,40000000.0,152266007.0
La casa del fin de los tiempos,2013,101,6.7,7900,Alejandro Hidalgo,"Alejandro Hidalgo, Frank Baiz Quevedo",Ruddy Rodríguez|Guillermo Garcia|Rosmel Bustamante,Drama|Fantasy|Horror,300000.0,4588899.0
Buzzard,2014,97,6.3,2300,Joel Potrykus,Joel Potrykus,Joshua Burge|Joel Potrykus|Teri Ann Nelson,Comedy|Drama|Horror,10000.0,13684.0
Midget Zombie Takeover,2013,73,3.2,139,Glenn Berggoetz,Glenn Berggoetz,Kristi McKay|Matt 'Goose' Goosherst|Kedryn Carpenter,Comedy|Horror,2000.0,10604.0
Rahsia,2023,90,6.3,151,Shamyl Othman,"Alfie Palermo, Zulaikha Zakaria, Luqman Sheikh Ghazali",Nabila Huda|Fikry Ibrahim|Eman Manan,Drama|Horror|Mystery,633981.0,1206914.0
Devil's Due,2014,89,4.2,18000,"Matt Bettinelli-Olpin, Tyler Gillett",Lindsay Devlin,Allison Miller|Zach Gilford|Sam Anderson,Horror|Mystery,7000000.0,36433975.0
Sinister 2,2015,97,5.3,61000,Ciarán Foy,"Scott Derrickson, C. Robert Cargill",James Ransone|Shannyn Sossamon|Robert Daniel Sloan,Horror|Mystery|Thriller,10000000.0,53329150.0
Siksa Neraka,2023,98,4.7,622,Anggy Umbara,"Lele Laila, M.B. Rahimsyah",Safira Ratu Sofya|Kiesha Alvaro|Ariyo Wahab,Horror|Thriller,307516.0,2407886.0
