original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
Tremors,Tremors,en,1990-01-19,40,2640,6,11000000,48572000,96,"Action, Comedy, Horror, Science Fiction",1990
The Amityville Horror,The Amityville Horror,en,2005-04-14,39,1862,6,19000000,108047131,90,Horror,2005
Mama,Mama,en,2013-01-17,39,3667,6,15000000,146497771,100,Horror,2013
Blade: Trinity,Blade: Trinity,en,2004-12-08,39,3275,5,65000000,128905366,123,"Action, Fantasy, Horror",2004
Leprechaun 2,Leprechaun 2,en,1994-04-07,39,242,5,2000000,2260622,85,"Comedy, Horror",1994
Antebellum,Antebellum,en,2020-09-02,39,744,6,15000000,7060384,105,Horror,2020
Wish Upon,Wish Upon,en,2017-07-07,39,1144,5,12000000,14301505,90,"Fantasy, Horror, Thriller",2017
Blade II,Blade II,en,2002-03-22,39,3963,6,54000000,155010032,117,"Action, Fantasy, Horror, Thriller",2002
Jigsaw,Jigsaw,en,2017-10-26,39,3044,6,10000000,102952888,92,"Crime, Horror, Mystery, Thriller",2017
The Boy,The Boy,en,2016-01-22,38,3346,5,10000000,64188367,97,"Horror, Mystery, Thriller",2016
Ready or Not,Ready or Not,en,2019-08-21,38,3383,7,6000000,57615777,95,"Comedy, Horror, Thriller",2019
Event Horizon,Event Horizon,en,1997-08-15,38,2212,6,60000000,26673242,96,"Horror, Mystery, Science Fiction",1997
The Return of the Living Dead,The Return of the Living Dead,en,1985-04-25,38,1491,7,4000000,14237880,91,"Comedy, Horror",1985
Psycho Goreman,Psycho Goreman,en,2020-10-29,38,245,6,1700000,95384,95,"Comedy, Horror, Science Fiction",2020
The Strangers: Prey at Night,The Strangers: Prey at Night,en,2018-03-07,38,1127,5,12500000,31039126,85,"Horror, Thriller",2018
Jessabelle,Jessabelle,en,2014-11-07,38,688,5,1000000,23456897,90,"Horror, Thriller",2014
Rings,Rings,en,2017-02-01,38,2270,5,25000000,83080890,102,Horror,2017
Halloween III: Season of the Witch,Halloween III: Season of the Witch,en,1982-10-22,38,1054,5,2500000,14400000,98,"Horror, Science Fiction, Thriller",1982
A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street Part 2: Freddy's Revenge,en,1985-11-01,38,1460,5,3000000,30000000,87,Horror,1985
The Last House on the Left,The Last House on the Left,en,2009-03-13,38,1421,6,15000000,32721635,110,"Crime, Drama, Horror, Thriller",2009
Species,Species,en,1995-07-07,38,1294,5,35000000,113374103,108,"Action, Horror, Science Fiction",1995
The Descent: Part 2,The Descent: Part 2,en,2009-10-14,38,872,5,6000200,7048886,94,"Adventure, Horror, Thriller",2009
Hellbound: Hellraiser II,Hellbound: Hellraiser II,en,1988-12-23,37,843,6,3000000,12090735,97,Horror,1988
