ID,Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
964,Thiên than ho menh,2021,127,5.6,474,Victor Vu,"Bong Bot Binh, Thi Nga, Kay Nguyen",Amee|Samuel An|Trúc Anh,Crime|Drama|Horror,1000000,1694828
965,Bhediya,2022,156,6.7,25000,Amar Kaushik,Niren Bhatt,Varun Dhawan|Kriti Sanon|Abhishek Banerjee,Comedy|Fantasy|Horror,7350000,10911075
966,Jeepers Creepers: Reborn,2022,88,2.5,15000,Timo Vuorensola,"Jake Seal, Sean-Michael Argo",Gary Graham|Dee Wallace|Timo Vuorensola,Horror|Mystery|Thriller,5000000,6175213
967,Buraddo,2009,85,4.8,327,Ten Shimoyama,Shigenori Takechi,Aya Sugimoto|Guts Ishimatsu|Jun Kaname,Action|Horror,30000000,5874530
968,Speak No Evil,2022,97,6.6,39000,Christian Tafdrup,"Christian Tafdrup, Mads Tafdrup",Morten Burian|Sidsel Siem Koch|Fedja van Huêt,Drama|Horror|Thriller,3200000,631249
969,Hansel & Gretel: Witch Hunters,2013,88,6.1,217000,Tommy Wirkola,"Tommy Wirkola, Jacob Grimm, Wilhelm Grimm",Jeremy Renner|Gemma Arterton|Peter Stormare,Action|Fantasy|Horror,50000000,226349749
970,Coupez!,2022,112,6.4,4500,Michel Hazanavicius,"Michel Hazanavicius, Shin'ichirô Ueda, Ryoichi Wada",Romain Duris|Bérénice Bejo|Grégory Gadebois,Comedy|Horror,4300000,2046233
971,The Apparition,2012,83,4.1,21000,Todd Lincoln,Todd Lincoln,Ashley Greene|Sebastian Stan|Tom Felton,Horror|Thriller,17000000,9627492
972,Mother's Day,2010,112,6.2,18000,Darren Lynn Bousman,"Scott Milam, Charles Kaufman, Warren Leight",Rebecca De Mornay|Jaime King|Shawn Ashmore,Drama|Horror|Thriller,11000000,863000
973,Bait,2012,93,5.2,19000,Kimble Rendall,"Russell Mulcahy, John Kim, Duncan Kennedy",Xavier Samuel|Sharni Vinson|Adrian Pang,Action|Fantasy|Horror,30000000,32500000
974,The Hunt,2021,92,3.0,131,"Jon Cohen, Darren K. Hawkins",Jon Cohen,Imogen Bailey|Jason Stojanovski|Matthew Charleston,Horror,14000000,10550350
975,Under the Skin,2013,108,6.3,158000,Jonathan Glazer,"Walter Campbell, Jonathan Glazer, Michel Faber",Scarlett Johansson|Jeremy McWilliams|Lynsey Taylor Mackay,Drama|Horror|Mystery,13300000,5735963
976,Thanksgiving,2023,106,6.3,49000,Eli Roth,"Jeff Rendell, Eli Roth",Patrick Dempsey|Ty Olsson|Gina Gershon,Horror|Mystery|Thriller,15000000,46553280
977,Vanishing on 7th Street,2010,92,4.9,27000,Brad Anderson,Anthony Jaswinski,Hayden Christensen|Thandiwe Newton|John Leguizamo,Horror|Mystery|Thriller,10000000,1671196
978,Nefarious,2023,97,6.4,27000,"Chuck Konzelman, Cary Solomon","Cary Solomon, Chuck Konzelman, Steve Deace",Sean Patrick Flanery|Jordan Belfi|Tom Ohmer,Horror|Thriller,3000000,5400000
979,Crimes of the Future,2022,107,5.8,41000,David Cronenberg,David Cronenberg,Viggo Mortensen|Léa Seydoux|Kristen Stewart,Drama|Horror|Sci-Fi,27000000,4551565
