original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
Candyman,Candyman,en,1992-10-16,25.43,1269.0,6.6,6000000.0,25792310.0,100.0,"Drama, Horror, Thriller",1992
Dracula Untold,Dracula Untold,en,2014-10-01,25.427,5364.0,6.4,70000000.0,217124280.0,92.0,"Action, Drama, Fantasy, Horror, War",2014
Antichrist,Antichrist,en,2009-05-20,25.395,2138.0,6.7,11000000.0,791867.0,108.0,"Drama, Horror, Thriller",2009
Mirrors,Mirrors,en,2008-08-15,25.389,1520.0,6.2,35000000.0,72436439.0,111.0,"Drama, Fantasy, Horror, Mystery, Thriller",2008
Cat's Eye,Cat's Eye,en,1985-04-12,25.297,508.0,6.7,7000000.0,13100000.0,94.0,"Horror, Thriller",1985
Jaws: The Revenge,Jaws: The Revenge,en,1987-07-17,25.29,817.0,4.1,23000000.0,51881013.0,89.0,"Adventure, Horror, Thriller",1987
Night of the Living Dead,Night of the Living Dead,en,1968-10-04,25.289,1935.0,7.6,114000.0,30000000.0,96.0,"Horror, Thriller",1968
Dawn of the Dead,Dawn of the Dead,en,1978-09-02,25.198,1674.0,7.5,650000.0,55000000.0,127.0,Horror,1978
Stigmata,Stigmata,en,1999-09-10,25.137,877.0,6.2,29000000.0,50041732.0,103.0,"Horror, Thriller",1999
The Lighthouse,The Lighthouse,en,2019-10-18,25.082,3687.0,7.5,11000000.0,18123239.0,109.0,"Drama, Fantasy, Horror, Thriller",2019
A Cure for Wellness,A Cure for Wellness,en,2017-02-15,25.0,3345.0,6.3,40000000.0,26620002.0,146.0,"Horror, Mystery, Science Fiction, Thriller",2017
La Leyenda del Chupacabras,The Legend of the Chupacabras,es,2016-10-21,24.942,111.0,7.2,1600000.0,5138140.0,81.0,"Action, Adventure, Animation, Family, Fantasy, History, Horror",2016
"Silent Night, Deadly Night","Silent Night, Deadly Night",en,1984-11-09,24.794,264.0,5.8,1065000.0,2491460.0,79.0,"Horror, Thriller",1984
The Crazies,The Crazies,en,2010-02-26,24.487,1697.0,6.2,20000000.0,54956140.0,101.0,"Action, Horror, Mystery",2010
Spawn,Spawn,en,1997-07-31,24.428,1086.0,5.4,40000000.0,87840042.0,96.0,"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller",1997
Resident Evil,Resident Evil,en,2002-03-15,24.356,5385.0,6.6,33000000.0,102984862.0,100.0,"Action, Horror, Science Fiction",2002
Red Riding Hood,Red Riding Hood,en,2011-03-11,24.3,2817.0,6.0,42000000.0,89162162.0,100.0,"Fantasy, Horror, Thriller",2011
Unfriended: Dark Web,Unfriended: Dark Web,en,2018-07-19,24.191,1281.0,6.3,1000000.0,9602624.0,93.0,"Horror, Mystery, Thriller",2018
Hellraiser: Judgment,Hellraiser: Judgment,en,2018-02-13,24.182,204.0,5.1,350000.0,426290.0,81.0,Horror,2018
リング 2,Ringu 2,ja,1999-01-23,24.177,322.0,5.7,6000000.0,31365000.0,92.0,"Horror, Mystery, Science Fiction",1999
Pet Sematary II,Pet Sematary II,en,1992-08-28,24.157,408.0,5.3,8000000.0,17092453.0,100.0,Horror,1992
An American Werewolf in Paris,An American Werewolf in Paris,en,1997-05-29,24.146,544.0,5.9,22000000.0,26570463.0,105.0,"Comedy, Horror",1997
Jaws 3-D,Jaws 3-D,en,1983-07-22,24.146,1015.0,4.4,20500000.0,87987055.0,99.0,"Horror, Thriller",1983
The Bye Bye Man,The Bye Bye Man,en,2017-01-12,24.11,1086.0,5.2,7400000.0,26667197.0,96.0,"Horror, Thriller",2017
The Fly,The Fly,en,1986-08-15,24.061,3512.0,7.4,15000000.0,60629159.0,96.0,"Horror, Science Fiction",1986
Paranormal Activity: The Ghost Dimension,Paranormal Activity: The Ghost Dimension,en,2015-10-21,24.036,1198.0,5.3,10000000.0,78096553.0,88.0,"Horror, Thriller",2015
The Skeleton Key,The Skeleton Key,en,2005-07-29,23.969,1736.0,6.6,43000000.0,93983911.0,104.0,"Drama, Horror, Mystery, Thriller",2005
Ma,Ma,en,2019-05-29,23.93,1823.0,5.8,5000000.0,51749995.0,99.0,"Horror, Thriller",2019
"I, Frankenstein","I, Frankenstein",en,2014-01-22,23.863,1623.0,5.3,65000000.0,76801179.0,92.0,"Horror, Thriller",2014
The Ghost and the Darkness,The Ghost and the Darkness,en,1996-10-11,23.769,807.0,6.7,50000000.0,38619405.0,109.0,"Adventure, Horror",1996
Traffik,Traffik,en,2018-04-20,23.723,393.0,6.2,4000000.0,5132274.0,96.0,"Horror, Thriller",2018
Dominion: Prequel to The Exorcist,Dominion: Prequel to The Exorcist,en,2005-05-20,23.695,263.0,5.3,30000000.0,251495.0,117.0,"Drama, Horror",2005
Maggie,Maggie,en,2015-05-08,23.679,1415.0,5.4,4000000.0,187112.0,95.0,"Drama, Horror, Mystery",2015
Ted Bundy,Ted Bundy,en,2002-11-22,23.585,124.0,5.8,1200000.0,68716.0,99.0,"Crime, Drama, Horror",2002
The Lost Boys,The Lost Boys,en,1987-07-31,23.542,1598.0,7.1,8500000.0,32222567.0,97.0,"Comedy, Horror",1987
