registration_number,postal_code,transaction_value,transaction_date,built_area,latitude,longitude,neighborhood
6802900696.0,02082-030,680000,2022-01-06,139,-23.4948763,-46.6069808,Vila Isolina Mazzei
16217500484.0,04814-000,350000,2022-01-05,80,-23.7215023,-46.6836632,Jardim Maringá
13444200136.0,08111-280,350000,2022-01-17,220,-23.4924923,-46.3757414,Itaim Paulista
6853001451.0,02245-090,90000,2022-01-14,38,-23.4848403,-46.6058443,Parada Inglesa
16825602240.0,05777-200,400000,2022-01-18,175,-23.6445868,-46.7469869,Vila Nova das Belezas
5133901933.0,03211-090,580000,2022-01-11,89,-23.6041725,-46.5537249,Sítio da Figueira
11012300470.0,03737-220,285000,2022-01-13,73,-23.5094782,-46.5137049,Vila Buenos Aires
4815402280.0,04159-001,500000,2022-01-13,183,-23.6222536,-46.6088583,Jardim Previdencia
6733401355.0,02316-110,410000,2022-01-13,103,-23.4637173,-46.5933153,Vila Nova Mazzei
17328000081.0,04474-320,210000,2022-01-19,70,-23.7009771,-46.6419486,Parque Doroteia
6728601783.0,02315-000,435000,2022-01-12,133,-23.4593139,-46.6006182,Vila Mazzei
23707900159.0,08473-100,40000,2022-01-20,24,-23.5772416,-46.3930977,Conjunto Habitacional Sitio Conceicao
16034000105.0,05396-180,2150000,2022-01-13,597,-23.5780277,-46.7731552,Parque dos Principes
11409001023.0,08295-030,300000,2022-01-19,107,-23.5459179,-46.4508713,Vila Carmosina
18313500831.0,05798-080,320000,2022-01-07,102,-23.6580228,-46.770674,Jardim Avenida
17125600221.0,05750-001,358000,2022-01-13,68,-23.6165923,-46.7483026,Super Quadra Morumbi
14906600017.0,03937-090,615000,2022-01-21,200,-23.5884087,-46.4980023,Jardim Imperador (Zona Leste)
5908601411.0,03654-010,340000,2022-01-14,78,-23.5265682,-46.5158107,Vila Granada
4006400251.0,04261-000,1250000,2022-01-11,75,-23.5842784,-46.6125692,Vila Monumento
16805901641.0,05786-140,380000,2022-01-03,56,-23.6384605,-46.7740289,Vila Pirajussara
10304900647.0,04902-040,700000,2022-01-06,217,-23.6703479,-46.7302842,Parque Alves de Lima
15720702228.0,04191-000,315000,2022-01-19,82,-23.6433907,-46.6039727,Vila Caraguata
15720702236.0,04191-000,350000,2022-01-19,84,-23.6433907,-46.6039727,Vila Caraguata
17303700985.0,04434-000,200000,2022-01-14,41,-23.6828719,-46.6676051,Jardim Orly
6637001449.0,02260-090,335000,2022-01-14,65,-23.4698919,-46.57840789999999,Vila Constança
18312001475.0,05782-470,360000,2022-01-18,81,-23.6503856,-46.7658361,Parque Munhoz
