registration_number,postal_code,transaction_value,transaction_date,built_area
20102300990.0,05571-130,275000,2022-01-28,112
30102600012.0,05692-060,4700000,2022-02-03,538
6820200943.0,02078-000,550000,2022-01-31,231
12119800269.0,04463-030,900000,2022-01-31,178
11006400541.0,03721-060,240000,2022-02-04,48
7852800149.0,05143-120,240000,2022-02-02,95
18311001781.0,05782-450,425000,2022-01-28,100
11139500529.0,03807-330,850000,2022-01-31,164
5102302329.0,03201-010,600000,2022-02-03,93
14508500616.0,08275-010,700000,2022-02-09,277
18312400787.0,05782-370,680000,2022-01-31,90
4701700657.0,04144-010,700000,2022-01-31,75
16218700193.0,04813-280,390000,2022-01-20,100
5816300520.0,03534-000,300000,2022-01-31,83
16620500411.0,05848-110,359000,2022-01-05,117
11248900994.0,08021-020,260000,2022-02-04,69
16017708251.0,05376-120,440000,2022-01-31,94
9020500244.0,04693-140,1300000,2022-02-03,338
14716400319.0,03576-040,480000,2022-01-27,150
4408200506.0,03151-050,750000,2022-02-02,135
7612500477.0,02727-030,365000,2022-01-31,59
15027200268.0,03962-000,375000,2022-02-02,58
9511000047.0,04788-070,300000,2022-02-04,650
11127100954.0,03803-010,270000,2022-02-07,56
5910300733.0,03660-030,255000,2022-02-03,89
14604500087.0,03581-080,120000,2022-02-07,81
30606100161.0,02525-050,3600000,2022-02-09,316
14726500715.0,03570-190,150000,2022-02-08,97
6622801126.0,02223-010,260000,2021-12-20,50
7141605959.0,02420-100,360000,2022-01-24,103
14718600463.0,03572-190,78000,2022-02-04,150
7851700078.0,05101-140,1000000,2022-02-04,495
14027800248.0,08040-390,320000,2022-02-04,66
16018301252.0,05386-330,720000,2022-02-03,145
2804500861.0,03114-000,530000,2022-02-04,76
5917100731.0,03655-080,315000,2022-01-27,72
1208000985.0,01258-020,900000,2022-02-04,100
16930406367.0,05787-902,570000,2022-02-02,81
13224000243.0,08081-380,300000,2022-01-27,82
15213800547.0,03971-050,192000,2022-02-07,85
30413100151.0,02051-000,800000,2022-01-31,139
8245800910.0,05344-070,720000,2022-01-31,132
9010600955.0,04676-070,490000,2022-02-04,101
11634300873.0,03478-007,255000,2022-01-31,54
15013400154.0,03961-090,350000,2022-02-04,131
8828700203.0,04737-002,1800000,2022-02-01,323
17414200018.0,04840-490,313000,2022-01-31,105
11122300408.0,08051-380,300000,2022-01-25,57
11609700911.0,03437-050,280000,2022-02-07,41
16715900311.0,05883-120,160000,2022-02-11,40
7840600530.0,05128-010,500000,2022-01-28,132
5907200561.0,03650-000,240000,2022-01-25,57
16026301045.0,05374-200,555000,2022-02-07,139
15515500678.0,03272-080,440000,2022-02-11,140
2309800058.0,05047-040,610000,2022-02-04,120
1906000670.0,01135-020,58000,2022-02-14,60
1906000689.0,01135-020,69000,2022-02-14,60
1906000697.0,01135-020,58000,2022-02-14,60
1906000700.0,01135-020,69000,2022-02-14,60
1906000719.0,01135-020,170000,2022-02-14,70
1906000727.0,01135-020,114000,2022-02-14,70
1906000735.0,01135-020,128000,2022-02-14,70
1906000743.0,01135-020,142000,2022-02-14,70
1906000751.0,01135-020,170000,2022-02-14,70
16200132282.0,04661-300,517000,2022-02-09,95
1204800693.0,05021-010,318000,2022-01-26,51
4010000511.0,04205-010,575000,2022-02-07,89
11311300308.0,03557-040,515000,2022-01-31,101
9503303532.0,04805-000,385000,2022-02-08,120
13326100107.0,08191-070,250000,2022-02-07,130
15919900260.0,05527-170,550000,2022-01-28,121
11343200872.0,03669-030,380000,2022-02-09,68
10508100150.0,05170-000,510000,2022-02-07,150
17129200821.0,05745-210,1450000,2022-01-21,233
15904400364.0,05371-130,500000,2022-02-07,120
18102602707.0,05879-450,300000,2022-02-08,54
6637800708.0,02161-030,250000,2022-02-07,75
14411200618.0,08295-230,315000,2022-01-15,81
17601700487.0,04844-410,400000,2022-02-08,239
19308600735.0,08451-290,220000,2022-02-07,55
7032000177.0,02344-060,700000,2022-01-31,403
11001600826.0,03720-130,260000,2022-02-07,107
14015200372.0,08050-540,270000,2022-02-07,85
4928203151.0,04289-020,620000,2022-02-15,210
6806800831.0,02073-000,1200000,2022-02-10,323
6710402029.0,02271-170,220000,2022-02-08,100
23004200137.0,08255-500,15000,2022-02-11,23
16036501081.0,05386-320,85000,2022-02-14,149
16036501098.0,05386-320,85000,2022-02-14,149
18512200722.0,05547-070,430000,2022-02-09,89
9506700540.0,04802-130,565000,2022-02-08,109
5133000480.0,03227-050,500000,2022-02-09,155
16015900864.0,05367-210,483000,2022-02-15,132
23706500084.0,08473-525,90000,2022-02-09,25
23003800106.0,08255-560,88000,2022-02-08,35
9039100373.0,04678-090,435000,2022-02-08,51
16513500183.0,05846-130,365000,2022-02-09,100
18423000711.0,05890-901,355000,2022-02-01,58
11285704389.0,08031-760,275000,2022-02-09,82
6730600632.0,02257-030,550000,2022-02-09,120
6101501231.0,03604-000,610000,2022-02-09,168
2105901077.0,05016-000,465000,2022-02-14,49
19211900033.0,08143-015,190000,2022-02-10,40
25803300630.0,04814-590,210000,2022-02-15,78
14405000671.0,08290-310,339000,2022-02-08,106
6838400391.0,02218-050,360000,2022-02-10,220
5302400855.0,03372-030,730000,2022-02-04,121
14031300386.0,08230-620,350000,2022-02-07,138
11139600566.0,03807-290,430000,2022-02-08,85
15301800158.0,03977-220,245000,2022-01-17,130
12004401760.0,04652-055,590000,2022-02-10,162
15028602882.0,03953-085,320000,2022-02-09,69
11831600713.0,03236-020,580000,2022-02-10,157
12123401152.0,04446-160,550000,2022-02-10,116
6749200702.0,02256-010,468000,2022-02-10,103
5907401931.0,03651-030,210000,2022-02-17,90
6822300783.0,02204-000,445000,2022-01-28,71
7004800520.0,02312-010,220000,2022-02-10,77
18312201059.0,05782-370,575000,2022-02-10,101
11516200471.0,08410-210,242500,2022-02-14,62
15920301170.0,05527-040,300000,2022-02-08,125
6015901780.0,03613-010,236000,2022-02-14,78
12409110346.0,05171-500,510000,2022-02-11,207
8723401214.0,04721-040,2500000,2022-02-11,241
10909100097.0,02355-200,400000,2022-02-14,79
16114200240.0,04477-220,450000,2022-02-04,159
8530100336.0,04562-031,1154400,2022-02-11,128
14105901604.0,08225-000,270000,2022-02-11,57
7851800080.0,05101-120,1932000,2022-02-10,420
7508100662.0,02532-000,500000,2022-02-09,140
16901900741.0,05734-140,580000,2022-02-11,106
15015100506.0,03961-000,350000,2022-02-07,119
13407500091.0,08160-130,150000,2022-02-15,250
6804400666.0,02247-100,360000,2022-02-10,141
6726001517.0,02256-000,505000,2022-02-16,113
9540800528.0,04776-150,540000,2022-02-15,94
19006002241.0,02883-050,250000,2022-02-11,90
12038300959.0,04652-160,355000,2022-02-08,100
14712900538.0,03579-020,155000,2022-02-15,45
